"","RealTitle","SearchTitle","imdbLink","YoutubeLink","RTscore","Paff","yr","le","ca","ra","de","pi","aw","po"
"58","blade2","Blade II","http://www.imdb.com/title/tt0187738/","http://www.youtube.com/watch?v=cNEXUOoL400",NA,"blade2",2002,"
                        1h 57min
                    ","Action",6.7,"
                    Blade forms an uneasy alliance with the vampire council in order to combat the Reaper vampires who feed on vampires.
            ","http://ia.media-imdb.com/images/M/MV5BMjE0NzIwNzY0M15BMl5BanBnXkFtZTYwNTAyMDg5._V1_UX182_CR0,0,182,268_AL_.jpg","
      6 wins & 9 nominations.
    ",155950
"59","blended","Blended","http://www.imdb.com/title/tt1086772/",NA,"Blended (2014 14%","blended",2014,"
                        1h 57min
                    ","Comedy",6.5,"
                    After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.
            ","http://ia.media-imdb.com/images/M/MV5BNzc2ODI5NjAyMl5BMl5BanBnXkFtZTgwMzIyOTE4MDE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      1 win & 10 nominations.
    ",85032
"60","blood diamond","Blood Diamond","http://www.imdb.com/title/tt0450259/","http://www.youtube.com/watch?v=yknIZsvQjG4","Blood Diamond (2006) - Rotten Tomatoes 62%","blood diamond",2006,"
                        2h 23min
                    ","Adventure",8,"
                    A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.
            ","http://ia.media-imdb.com/images/M/MV5BMTY5MTYyNjkwNV5BMl5BanBnXkFtZTcwODE3MTI0MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      
        Nominated for
        5
        Oscars.
      
    ",395429
"61","blues brothers","The Blues Brothers","http://www.imdb.com/title/tt0080455/",NA,"The Blues Brothers (1980) - Rotten Tomatoes 85%","blues brothers",1980,"
                        2h 13min
                    ","Action",7.9,"
                    Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised.
            ","http://ia.media-imdb.com/images/M/MV5BMTM1Mjk3OTQ0M15BMl5BanBnXkFtZTYwMDA4MTY5._V1_UY268_CR3,0,182,268_AL_.jpg","
      1 win.
    ",140492
"62","body of lies","Body of Lies","http://www.imdb.com/title/tt0758774/",NA,"Body of Lies (2008) - Rotten Tomatoes 54%","body of lies",2008,"
                        2h 8min
                    ","Action",7.1,"
                    A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.
            ","http://ia.media-imdb.com/images/M/MV5BMTgzOTY3MTM0OV5BMl5BanBnXkFtZTcwNjc5MTI5MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      2 nominations.
    ",172268
"63","bon cop bad cop","Bon Cop Bad Cop","http://www.imdb.com/title/tt0479647/",NA,NA,"bon cop bad cop",2006,"
                        1h 56min
                    ","Action",7,"
                    Two Canadian detectives, one from Ontario and the other from Quebec, must work together when a murdered victim is found on the Ontario Quebec border line.
            ","http://ia.media-imdb.com/images/M/MV5BMTU2NTkwMTcwM15BMl5BanBnXkFtZTcwNzIwNzE0MQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","
      7 wins & 22 nominations.
    ",8536
"64","bone collector","The Bone Collector","http://www.imdb.com/title/tt0145681/","http://www.youtube.com/watch?v=w4z4Xsp-bos","The Bone Collector (1999) - Rotten Tomatoes 28%","bone collector",1999,"
                        1h 58min
                    ","Crime",6.7,"
                    A quadriplegic ex-homicide detective and his female partner try to track down a serial killer who is terrorizing New York City.
            ","http://ia.media-imdb.com/images/M/MV5BMjAyNTUyNjkzNl5BMl5BanBnXkFtZTgwMTk3ODYxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      3 nominations.
    ",118594
"65","boulevard de la mort","Death Proof","http://www.imdb.com/title/tt1028528/",NA,NA,"boulevard de la mort",2007,"
                        1h 53min
                    ","Thriller",7.1,"
                    Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.
            ","http://ia.media-imdb.com/images/M/MV5BMTUwMDQxNjIxM15BMl5BanBnXkFtZTcwMzg5MzkwNA@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      6 nominations.
    ",206847
"66","boys a","Jersey Boys","http://www.imdb.com/title/tt1742044/",NA,NA,"boys a",2014,"
                        2h 14min
                    ","Biography",6.9,"
                    The story of four young men from the wrong side of the tracks in New Jersey who came together to form the iconic 1960s rock group The Four Seasons.
            ","http://ia.media-imdb.com/images/M/MV5BMjIyMjA2OTM0NF5BMl5BanBnXkFtZTgwMzY2MTI2MTE@._V1_UX182_CR0,0,182,268_AL_.jpg","
      3 wins & 2 nominations.
    ",24926
"67","braveheart","Braveheart","http://www.imdb.com/title/tt0112573/",NA,NA,"braveheart",1995,"
                        2h 58min
                    ","Biography",8.4,"
                    When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
            ","http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg","
      2 wins & 12 nominations.
    ",725192
